"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2018","2018",38252,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2000","2000",44380,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2001","2001",45632,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2002","2002",46663,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2003","2003",47321,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2004","2004",48304,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2005","2005",49048,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2006","2006",49695,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2007","2007",50502,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2008","2008",51389,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2009","2009",52303,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2010","2010",53418,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2011","2011",54851,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2012","2012",56363,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2013","2013",57623,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2014","2014",59070,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2015","2015",60138,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2016","2016",61899,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2017","2017",63615,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2018","2018",66561,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2019","2019",68724,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2000","2000",130560,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2001","2001",133878,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2002","2002",137573,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2003","2003",140843,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2004","2004",144313,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2005","2005",147492,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2006","2006",150817,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2007","2007",154262,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2008","2008",157940,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2009","2009",161616,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2010","2010",165559,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2011","2011",170062,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2012","2012",175117,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2013","2013",180592,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2014","2014",186278,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2015","2015",191805,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2016","2016",198030,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2017","2017",204256,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2018","2018",210506,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2019","2019",214317,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2000","2000",64462,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2001","2001",65235,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2002","2002",66289,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2003","2003",66583,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2004","2004",68171,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2005","2005",69619,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2006","2006",70870,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2007","2007",72903,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2008","2008",75155,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2009","2009",78623,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2010","2010",80895,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2011","2011",84313,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2012","2012",87306,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2013","2013",90205,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2014","2014",92708,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2015","2015",95206,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2016","2016",97169,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2017","2017",99812,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2018","2018",103048,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2000","2000",232566,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2001","2001",231512,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2002","2002",296221,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2003","2003",309661,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2004","2004",315135,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2005","2005",321159,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2006","2006",326170,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2007","2007",332794,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2008","2008",341431,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2009","2009",348499,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2010","2010",354910,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2011","2011",360572,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2012","2012",365422,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2013","2013",375768,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2014","2014",383849,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2015","2015",390359,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2016","2016",396177,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2017","2017",398845,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2018","2018",402920,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2000","2000",43765,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2001","2001",43770,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2002","2002",43772,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2003","2003",43778,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2004","2004",43808,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2005","2005",43808,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2006","2006",44064,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2007","2007",43670,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2008","2008",43280,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2009","2009",42883,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2010","2010",42614,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2011","2011",42166,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2012","2012",41582,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2013","2013",42174,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2014","2014",41671,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2015","2015",41893,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2016","2016",42682,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2017","2017",43283,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2018","2018",43951,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2019","2019",43994,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2000","2000",15553,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2001","2001",15717,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2002","2002",16324,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2003","2003",16608,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2004","2004",17438,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2005","2005",18072,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2006","2006",18615,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2007","2007",18886,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2008","2008",19664,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2009","2009",20166,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2010","2010",20670,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2011","2011",21108,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2012","2012",21458,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2013","2013",21614,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2014","2014",21882,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2015","2015",22332,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2016","2016",22902,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2017","2017",23688,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2018","2018",24301,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2000","2000",49706,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2001","2001",50005,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2002","2002",50754,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2003","2003",50064,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2004","2004",51044,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2005","2005",51946,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2006","2006",51919,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2007","2007",50766,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2008","2008",52478,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2009","2009",54110,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2010","2010",54481,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2011","2011",55000,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2012","2012",55694,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2013","2013",55889,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2014","2014",56060,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2015","2015",56372,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2016","2016",56991,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2017","2017",57821,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2018","2018",58509,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2009","2009",16611,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2010","2010",16873,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2011","2011",20502,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2012","2012",20866,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2009","2009",68380,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2010","2010",69801,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2011","2011",71160,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2012","2012",72471,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2000","2000",199445,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2001","2001",202612,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2002","2002",205437,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2003","2003",207736,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2004","2004",210203,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2005","2005",211713,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2006","2006",212711,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2007","2007",212874,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2008","2008",213821,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2009","2009",212044,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2010","2010",213442,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2011","2011",216762,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2012","2012",218296,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2013","2013",220474,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2014","2014",222150,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2015","2015",223571,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2016","2016",224875,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2017","2017",226219,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2018","2018",226859,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2000","2000",404564,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2001","2001",418571,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2002","2002",431565,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2003","2003",446100,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2004","2004",461503,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2005","2005",478483,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2006","2006",493503,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2007","2007",487663,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2008","2008",507514,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2009","2009",528389,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2010","2010",547861,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2011","2011",567564,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2012","2012",595594,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2013","2013",616796,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2014","2014",638248,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2015","2015",660611,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2016","2016",681459,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2017","2017",700988,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2018","2018",722572,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2000","2000",267965,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2001","2001",272296,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2002","2002",275167,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2003","2003",277885,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2004","2004",279722,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2005","2005",281309,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2006","2006",284427,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2007","2007",288182,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2008","2008",292129,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2009","2009",297835,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2010","2010",305093,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2011","2011",312695,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2012","2012",318887,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2013","2013",326945,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2014","2014",334277,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2015","2015",339728,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2016","2016",346390,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2017","2017",352869,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2018","2018",359099,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2012","2012",818000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2013","2013",848000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2014","2014",866000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2015","2015",875000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2016","2016",893000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2017","2017",913000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2018","2018",917000,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2004","2004",38234,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2005","2005",38009,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2006","2006",37908,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2007","2007",37640,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2008","2008",37409,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2009","2009",37102,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2010","2010",33770,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2011","2011",32966,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2012","2012",33454,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2013","2013",32668,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2014","2014",32791,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2015","2015",30486,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2016","2016",31515,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2017","2017",32543,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2018","2018",33078,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2013","2013",53323,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2014","2014",60216,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2015","2015",59273,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2016","2016",61167,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2017","2017",63739,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2018","2018",64695,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2011","2011",18812,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2012","2012",18184,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2013","2013",18160,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2014","2014",19066,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2015","2015",20454,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2016","2016",21920,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2017","2017",22693,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2018","2018",23012,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2019","2019",23574,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2000","2000",53072,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2001","2001",57059,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2002","2002",60084,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2003","2003",58981,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2004","2004",60774,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2005","2005",62639,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2006","2006",65415,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2007","2007",67245,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2008","2008",68614,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2009","2009",68483,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2010","2010",67415,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2011","2011",67130,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2012","2012",66888,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2013","2013",66409,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2014","2014",64790,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2015","2015",65203,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2016","2016",67559,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2017","2017",70953,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2018","2018",77115,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2000","2000",304159,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2001","2001",310122,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2002","2002",318394,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2003","2003",329209,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2004","2004",341670,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2005","2005",351950,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2006","2006",358747,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2007","2007",366756,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2008","2008",376835,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2009","2009",383170,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2010","2010",390664,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2011","2011",397859,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2012","2012",405624,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2013","2013",414448,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2014","2014",424813,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2015","2015",428401,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2016","2016",433283,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2017","2017",444968,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2018","2018",449781,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2019","2019",449571,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2001","2001",39772,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2002","2002",40974,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2003","2003",42001,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2004","2004",42607,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2005","2005",43659,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2006","2006",45051,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2007","2007",45362,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2008","2008",46580,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2009","2009",47690,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2010","2010",49013,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2011","2011",51939,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2012","2012",54511,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2013","2013",55681,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2014","2014",57762,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2015","2015",59144,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2016","2016",60233,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2017","2017",61730,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2001","2001",169580,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2002","2002",174699,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2003","2003",179847,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2004","2004",182474,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2005","2005",185571,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2006","2006",186990,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2007","2007",187309,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2008","2008",191427,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2009","2009",191743,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2010","2010",195340,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2011","2011",198694,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2012","2012",203261,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2013","2013",205514,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2014","2014",174313,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2015","2015",178366,,
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2016","2016",181715,,
